ЖК;Тип Недвижимости;Тип квартиры;Площадь от;Этаж от;Цена до;кол-во по фильтру;адрес1;адрес2;адрес3;id;;;;;;;;
Морская Миля;новостройки;2;;;10500000;5;проспект Маршала Жукова, 25к1;улица Маршала Казакова, 26;улица Маршала Казакова, 32;2976372;;;;;;;;
Ласточкино гнездо ;новостройки;;;;;1;Октябрьская набережная, 122к3;Русановская улица, 13к1;Октябрьская набережная, 118к1Б;27684;;;;;;;;
Москва;новостройки;;;;;7;5-й Предпортовый проезд, 2;площадь Победы, 1;Пулковское шоссе, 3к1;41205;;;;;;;;
AKZENT;новостройки;2Е;;;10300000;2;Малоохтинский проспект, 16к1;Малоохтинский проспект, 36;Новочеркасский проспект, 33;3004554;;;;;;;;
AKZENT;новостройки;3Е;;;17700000;3;Малоохтинский проспект, 16к1;Малоохтинский проспект, 37;Новочеркасский проспект, 34;3004554;;;;;;;;
АртХаус;новостройки;;;;;8;набережная Обводного канала, 91;Звенигородская улица, 9-11Л;Звенигородская улица, 20;72473;;;;;;;;
Б 57;новостройки;;;;;6;Благодатная улица, 61;Благодатная улица, 46;Благодатная улица, 34;75464;;;;;;;;
TESORO;новостройки;;;;;16;Петрозаводская улица, 22;Глухая Зеленина улица, 6;Левашовский проспект, 20А;50805;;;;;;;;
LEGENDA Героев;новостройки;;;;;16;проспект Героев, 33;проспект Патриотов, 34;улица Адмирала Черокова, 12;47179;;;;;;;;
Пять звезд;новостройки;;;;;6;улица Жукова, 1;шоссе Революции, 1;Пискарёвский проспект, 1;26502;;;;;;;;
Новый Невский;новостройки;;;;;15;улица Профессора Ивашенцова, 4/30;Невский проспект, 163;Невский проспект, 139;75500;;;;;;;;
White.House;новостройки;;;;;18;улица Рентгена, 23;улица Чапаева, 18;Большая Монетная улица, 34;26276;Клубный дом «Петроградец»;;;;;;;
Grand House;новостройки;;;;;13;Миргородская улица, 24-28Б;Невский проспект, 117;Полтавский проезд, 3;61049;;;;;;;;
Дом на Грота;новостройки;;;;;17;Песочная набережная, 18;улица Профессора Попова, 41;Песочная набережная, 12к2Б;34413;;;;;;;;
Duderhof club;новостройки;;;;;27;улица Катерников, 10к3;Петергофское шоссе, 43к2;улица Катерников, 8;76275;;;;;;;;
Премьер Палас;новостройки;;;;;2;Пионерская улица, 50;Ждановская улица, 45;набережная Адмирала Лазарева, 22;37121;;;;;;;;
